timestamp,type,category,symbol,side,price,qty,value,fee,fee_currency,order_id,exec_id,is_maker,pnl,slippage,spread,coin,tx_id,status
2025-08-09T02:00:00,trade,unknown,ARBUSDT,Buy,0.4338,9279,4025.2302,0.40252302,,1220f788-0fa0-4d5a-b81c-a2b2b2cfef69,53bb1495-f9c6-4eaa-8d89-84dd5b21b24a,False,,0,0.0015999999999999903,,,completed
2025-08-09T02:00:00,trade,unknown,BNBUSDT,Sell,793.02,11.72,9294.1944,0.9559079,,587027e8-98ca-46a8-b507-abadeaf5abc8,535263f0-1872-4440-8ca5-a73f506ebcdf,False,,0,1.580000000000041,,,completed
2025-08-09T01:09:19.773000,trade,unknown,LTCUSDT,Sell,124.11,18.7,2320.857,0.4641714,,0c71b010-6a80-4eda-a60e-11501206d357,43c2e392-d8f9-4d12-8229-10d1c02182df,True,,0.0,0.0,,,completed
2025-08-09T01:09:19.773000,pnl,unknown,LTCUSDT,Sell,124.11,18.7,,0,,0c71b010-6a80-4eda-a60e-11501206d357,,,-0.9283428,0,0,,,completed
2025-08-09T01:09:16.352000,trade,unknown,LTCUSDT,Buy,124.11,18.7,2320.857,0.4641714,,d905dd39-62d0-4390-bcc4-3ab4907f4191,41e92421-bd29-496c-90cd-318d73b38aa8,True,,0.0,0.010000000000005116,,,completed
2025-08-09T01:03:30.566000,trade,unknown,BNBUSDT,Sell,794.9,2.93,2329.057,0.4658114,,3deb0935-45b4-479c-b125-92c0b30e5e98,7ffaf646-ee21-467f-a6dc-15fb25cce6d9,True,,0.0,0.09000000000003183,,,completed
2025-08-09T01:03:30.566000,trade,unknown,BNBUSDT,Sell,794.9,2.93,2329.057,0.4658114,,49e27632-f00b-4b31-b117-40a8e690b446,c7ca9715-dcaa-434f-ba34-9c910fd16eac,True,,0.0,0.14999999999997726,,,completed
2025-08-09T01:02:50.566000,trade,unknown,BNBUSDT,Sell,794.8,2.93,2328.764,0.4657528,,f949ab52-315f-40ba-ae53-d77c05280a0c,1c42084a-1c5b-4a10-867d-029d979e0531,True,,0.0,0.09999999999990905,,,completed
2025-08-09T01:02:50.566000,trade,unknown,BNBUSDT,Sell,794.8,2.93,2328.764,0.4657528,,928849b2-79fd-45fb-a07c-c5372f1a3f06,7c3ab3a3-05ba-432e-8867-2392a7b9fb9a,True,,0.0,0.09999999999990905,,,completed
2025-08-09T01:00:18.422000,trade,unknown,LTCUSDT,Buy,124.07,18.7,2320.109,0.4640218,,378fffda-7786-4857-a614-4c7488aabce7,ad67f625-0cdc-4c54-9185-587b0e7cb66f,True,,0.0,0.010000000000005116,,,completed
2025-08-09T01:00:18.422000,pnl,unknown,LTCUSDT,Buy,124.07,18.7,,0,,378fffda-7786-4857-a614-4c7488aabce7,,,8.4200864,0,0,,,completed
2025-08-09T00:52:15.916000,trade,unknown,BNBUSDT,Buy,794.9,2.93,2329.057,0.4658114,,7490647f-7084-42a2-a56f-10d0100bf3ce,3b47ede2-17fe-42e4-826c-0c1e846d8392,True,,0.0,0.20000000000004547,,,completed
2025-08-09T00:52:15.916000,pnl,unknown,BNBUSDT,Buy,794.9,2.93,,0,,7490647f-7084-42a2-a56f-10d0100bf3ce,,,-0.0527986,0,0,,,completed
2025-08-09T00:49:05.586000,trade,unknown,BNBUSDT,Sell,795.2,2.93,2329.936,0.4659872,,b6333e27-e85e-49ad-9314-5b9296070a78,4b5b5485-7790-420b-b975-c66d18882f49,True,,0.0,0.10000000000002274,,,completed
2025-08-09T00:42:45.595000,trade,unknown,LINKUSDT,Buy,19.732,378,7458.696,1.4917392,,e54a66f5-e7f5-4378-8870-2ef5c5242b13,0b63a812-af66-4ef4-8a76-f92d388149e4,True,,0.0,0.0070000000000014495,,,completed
2025-08-09T00:42:45.595000,pnl,unknown,LINKUSDT,Buy,19.732,378,,0,,e54a66f5-e7f5-4378-8870-2ef5c5242b13,,,32.5414152,0,0,,,completed
2025-08-09T00:38:01.916000,trade,unknown,BNBUSDT,Buy,795.4,2.92,2322.568,0.4645136,,8a826202-e389-491a-8914-368e76464ee1,95fb7819-3f80-4a19-8adf-fd07d8c25caf,True,,0.0,0.20000000000004547,,,completed
2025-08-09T00:38:01.916000,pnl,unknown,BNBUSDT,Buy,795.4,2.92,,0,,8a826202-e389-491a-8914-368e76464ee1,,,-0.0532024,0,0,,,completed
2025-08-09T00:37:06.356000,trade,unknown,BNBUSDT,Sell,795.7,2.92,2323.444,0.4646888,,2cd7d47c-9b63-45eb-b745-0220845df741,d072f932-6a29-45a6-a2b9-3aa4e7a9daea,True,,0.0,0.12000000000000455,,,completed
2025-08-09T00:30:04.282000,trade,unknown,LTCUSDT,Sell,124.57,18.7,2329.459,0.4658918,,a1801bcd-ce15-47bd-b798-3dbb6aeff8c9,5ef65f4a-05c4-4913-a80f-870fedcbe0fb,True,,0.0,0.009999999999990905,,,completed
2025-08-09T00:26:29.945000,trade,unknown,LINKUSDT,Sell,19.826,378,7494.228,1.4988456,,ab92fcdf-8e46-4e9a-bf46-63c98fdf1f34,42c8fb99-1621-4bca-8bed-f12372ca3aec,True,,0.0,0.0010000000000012221,,,completed
2025-08-09T00:25:06.246000,trade,unknown,BNBUSDT,Sell,796.8,5.84,4653.312,0.9306624,,ea66f24c-51f2-4c37-b4f9-9f7478f085e5,3920ccdd-f89a-44cf-b3e7-1eb182290f9d,True,,0.0,0.16999999999995907,,,completed
